[i] Train : 7038
[i] Valid : 227
[i] pred_bboxes_op : Tensor("transpose:0", shape=(?, 49104, 4), dtype=float32)
[i] pred_classes_op : Tensor("RetinaNet/Sigmoid:0", shape=(?, 49104, 2), dtype=float32)
[i] gt_bboxes_var : Tensor("Placeholder_2:0", shape=(?, 49104, 4), dtype=float32)
[i] gt_classes_var : Tensor("Placeholder_3:0", shape=(?, 49104, 2), dtype=float32)
[i] max_iteration : 200000
[i] decay_iteration : [100000, 160000]
 [i] generate validation data
[i] iter : 4500, loss : 7.1686, focal_loss : 0.3528, giou_loss : 0.1985, l2_reg_loss : 6.6173, train_time : 23sec
[i] iter : 4550, loss : 7.0407, focal_loss : 0.2441, giou_loss : 0.1912, l2_reg_loss : 6.6055, train_time : 23sec
[i] iter : 4600, loss : 7.0152, focal_loss : 0.2218, giou_loss : 0.1998, l2_reg_loss : 6.5935, train_time : 23sec
[i] iter : 4650, loss : 7.0275, focal_loss : 0.2485, giou_loss : 0.1975, l2_reg_loss : 6.5815, train_time : 23sec
[i] iter : 4700, loss : 7.0769, focal_loss : 0.3066, giou_loss : 0.2006, l2_reg_loss : 6.5697, train_time : 22sec
[i] iter : 4750, loss : 7.0155, focal_loss : 0.2555, giou_loss : 0.2020, l2_reg_loss : 6.5580, train_time : 23sec
[i] iter : 4800, loss : 6.9658, focal_loss : 0.2252, giou_loss : 0.1945, l2_reg_loss : 6.5462, train_time : 23sec
[i] iter : 4850, loss : 6.9635, focal_loss : 0.2365, giou_loss : 0.1929, l2_reg_loss : 6.5342, train_time : 23sec
[i] iter : 4900, loss : 6.9479, focal_loss : 0.2293, giou_loss : 0.1963, l2_reg_loss : 6.5222, train_time : 23sec
[i] iter : 4950, loss : 6.9535, focal_loss : 0.2487, giou_loss : 0.1944, l2_reg_loss : 6.5104, train_time : 23sec
[i] iter : 5000, loss : 6.9144, focal_loss : 0.2193, giou_loss : 0.1965, l2_reg_loss : 6.4986, train_time : 23sec
[i] iter : 5000, valid_loss : 0.4751, best_valid_loss : 0.4751, valid_time : 23sec
[i] iter : 5050, loss : 6.9253, focal_loss : 0.2396, giou_loss : 0.1991, l2_reg_loss : 6.4866, train_time : 93sec
[i] iter : 5100, loss : 7.1502, focal_loss : 0.4713, giou_loss : 0.2041, l2_reg_loss : 6.4748, train_time : 23sec
[i] iter : 5150, loss : 6.9550, focal_loss : 0.2918, giou_loss : 0.2002, l2_reg_loss : 6.4630, train_time : 23sec
[i] iter : 5200, loss : 6.9112, focal_loss : 0.2680, giou_loss : 0.1921, l2_reg_loss : 6.4511, train_time : 23sec
[i] iter : 5250, loss : 6.8640, focal_loss : 0.2337, giou_loss : 0.1911, l2_reg_loss : 6.4392, train_time : 23sec
[i] iter : 5300, loss : 6.8580, focal_loss : 0.2366, giou_loss : 0.1942, l2_reg_loss : 6.4273, train_time : 22sec
[i] iter : 5350, loss : 6.8341, focal_loss : 0.2277, giou_loss : 0.1910, l2_reg_loss : 6.4153, train_time : 23sec
[i] iter : 5400, loss : 6.8084, focal_loss : 0.2150, giou_loss : 0.1901, l2_reg_loss : 6.4033, train_time : 23sec
[i] iter : 5450, loss : 6.7971, focal_loss : 0.2130, giou_loss : 0.1929, l2_reg_loss : 6.3913, train_time : 23sec
[i] iter : 5500, loss : 6.7893, focal_loss : 0.2278, giou_loss : 0.1823, l2_reg_loss : 6.3792, train_time : 23sec
[i] iter : 5550, loss : 6.7899, focal_loss : 0.2253, giou_loss : 0.1975, l2_reg_loss : 6.3672, train_time : 23sec
[i] iter : 5600, loss : 6.7809, focal_loss : 0.2313, giou_loss : 0.1944, l2_reg_loss : 6.3551, train_time : 23sec
[i] iter : 5650, loss : 6.7372, focal_loss : 0.2014, giou_loss : 0.1926, l2_reg_loss : 6.3431, train_time : 23sec
[i] iter : 5700, loss : 6.7396, focal_loss : 0.2271, giou_loss : 0.1814, l2_reg_loss : 6.3311, train_time : 22sec
[i] iter : 5750, loss : 6.7309, focal_loss : 0.2240, giou_loss : 0.1878, l2_reg_loss : 6.3190, train_time : 23sec
[i] iter : 5800, loss : 6.6700, focal_loss : 0.1799, giou_loss : 0.1832, l2_reg_loss : 6.3069, train_time : 23sec
[i] iter : 5850, loss : 6.7232, focal_loss : 0.2361, giou_loss : 0.1923, l2_reg_loss : 6.2948, train_time : 23sec
[i] iter : 5900, loss : 6.6842, focal_loss : 0.2137, giou_loss : 0.1877, l2_reg_loss : 6.2828, train_time : 23sec
[i] iter : 5950, loss : 6.6309, focal_loss : 0.1814, giou_loss : 0.1788, l2_reg_loss : 6.2707, train_time : 23sec
[i] iter : 6000, loss : 6.6255, focal_loss : 0.1864, giou_loss : 0.1805, l2_reg_loss : 6.2587, train_time : 23sec
[i] iter : 6050, loss : 6.6314, focal_loss : 0.1946, giou_loss : 0.1902, l2_reg_loss : 6.2466, train_time : 23sec
[i] iter : 6100, loss : 6.6506, focal_loss : 0.2338, giou_loss : 0.1823, l2_reg_loss : 6.2346, train_time : 22sec
[i] iter : 6150, loss : 6.6572, focal_loss : 0.2412, giou_loss : 0.1934, l2_reg_loss : 6.2226, train_time : 22sec
